tasks,Freq
ALFW_ALST_AM,0
ALFW_ALST_AM2m,0
ALFW_ALST_AM2mG,0
ALFW_ALST_AM2N,0
ALFW_ALST_AM2N2m,0
ALFW_ALST_AM2N2mG,0
ALFW_ALST_AM2NG,0
ALFW_ALST_AMG,0
ALFW_ALST_IM,0
ALFW_ALST_IM2m,0
ALFW_ALST_IM2N,0
ALFW_ALST_IM2NG,0
ALFW_ALST_IMG,0
ALFW_ALST_SC,0
ALFW_ALST_SC2m,0
ALFW_ALST_SC2mG,0
ALFW_ALST_SC2N,0
ALFW_ALST_SC2N2m,0
ALFW_ALST_SC2N2mG,0
ALFW_ALST_SC2NG,0
ALFW_ALST_SCG,0
ALFW_ALST_SI,0
ALFW_ALST_SI2N,0
ALFW_ALST_SI2NG,0
ALFW_ALST_SIG,0
ALFW_LAFW_AM,0
ALFW_LAFW_AM2m,0
ALFW_LAFW_AM2mG,0
ALFW_LAFW_AM2N,0
ALFW_LAFW_AM2N2m,0
ALFW_LAFW_AM2N2mG,0
ALFW_LAFW_AM2NG,0
ALFW_LAFW_AMG,0
ALFW_LAFW_IM,0
ALFW_LAFW_IM2m,0
ALFW_LAFW_IM2N,0
ALFW_LAFW_IM2NG,0
ALFW_LAFW_IMG,0
ALFW_LAFW_SC,0
ALFW_LAFW_SC2m,0
ALFW_LAFW_SC2mG,0
ALFW_LAFW_SC2N,0
ALFW_LAFW_SC2N2m,0
ALFW_LAFW_SC2N2mG,0
ALFW_LAFW_SC2NG,0
ALFW_LAFW_SCG,0
ALFW_LAFW_SI,0
ALFW_LAFW_SI2N,0
ALFW_LAFW_SI2NG,0
ALFW_LAFW_SIG,0
ALFW_TXCC_AM,0
ALFW_TXCC_AM2m,0
ALFW_TXCC_AM2mG,0
ALFW_TXCC_AM2N,0
ALFW_TXCC_AM2N2m,0
ALFW_TXCC_AM2N2mG,0
ALFW_TXCC_AM2NG,0
ALFW_TXCC_AMG,0
ALFW_TXCC_IM,0
ALFW_TXCC_IM2m,0
ALFW_TXCC_IM2N,0
ALFW_TXCC_IM2NG,0
ALFW_TXCC_IMG,0
ALFW_TXCC_SC,0
ALFW_TXCC_SC2m,0
ALFW_TXCC_SC2mG,0
ALFW_TXCC_SC2N,0
ALFW_TXCC_SC2N2m,0
ALFW_TXCC_SC2N2mG,0
ALFW_TXCC_SC2NG,0
ALFW_TXCC_SCG,0
ALFW_TXCC_SI,0
ALFW_TXCC_SI2N,0
ALFW_TXCC_SI2NG,0
ALFW_TXCC_SIG,0
ALFW_TXFW_AM,0
ALFW_TXFW_AM2m,0
ALFW_TXFW_AM2mG,0
ALFW_TXFW_AM2N,0
ALFW_TXFW_AM2N2m,0
ALFW_TXFW_AM2N2mG,0
ALFW_TXFW_AM2NG,0
ALFW_TXFW_AMG,0
ALFW_TXFW_IM,0
ALFW_TXFW_IM2m,0
ALFW_TXFW_IM2N,0
ALFW_TXFW_IM2NG,0
ALFW_TXFW_IMG,0
ALFW_TXFW_SC,0
ALFW_TXFW_SC2m,0
ALFW_TXFW_SC2mG,0
ALFW_TXFW_SC2N,0
ALFW_TXFW_SC2N2m,0
ALFW_TXFW_SC2N2mG,0
ALFW_TXFW_SC2NG,0
ALFW_TXFW_SCG,0
ALFW_TXFW_SI,0
ALFW_TXFW_SI2N,0
ALFW_TXFW_SI2NG,0
ALFW_TXFW_SIG,0
ALST_LAFW_AM,0
ALST_LAFW_AM2m,0
ALST_LAFW_AM2mG,0
ALST_LAFW_AM2N,0
ALST_LAFW_AM2N2m,0
ALST_LAFW_AM2N2mG,0
ALST_LAFW_AM2NG,0
ALST_LAFW_AMG,0
ALST_LAFW_IM,0
ALST_LAFW_IM2m,0
ALST_LAFW_IM2N,0
ALST_LAFW_IM2NG,0
ALST_LAFW_IMG,0
ALST_LAFW_SC,0
ALST_LAFW_SC2m,0
ALST_LAFW_SC2mG,0
ALST_LAFW_SC2N,0
ALST_LAFW_SC2N2m,0
ALST_LAFW_SC2N2mG,0
ALST_LAFW_SC2NG,0
ALST_LAFW_SCG,0
ALST_LAFW_SI,0
ALST_LAFW_SI2N,0
ALST_LAFW_SI2NG,0
ALST_LAFW_SIG,0
ALST_TXCC_AM,0
ALST_TXCC_AM2m,0
ALST_TXCC_AM2mG,0
ALST_TXCC_AM2N,0
ALST_TXCC_AM2N2m,0
ALST_TXCC_AM2N2mG,0
ALST_TXCC_AM2NG,0
ALST_TXCC_AMG,0
ALST_TXCC_IM,0
ALST_TXCC_IM2m,0
ALST_TXCC_IM2N,0
ALST_TXCC_IM2NG,0
ALST_TXCC_IMG,0
ALST_TXCC_SC,0
ALST_TXCC_SC2m,0
ALST_TXCC_SC2mG,0
ALST_TXCC_SC2N,0
ALST_TXCC_SC2N2m,0
ALST_TXCC_SC2N2mG,0
ALST_TXCC_SC2NG,0
ALST_TXCC_SCG,0
ALST_TXCC_SI,0
ALST_TXCC_SI2N,0
ALST_TXCC_SI2NG,0
ALST_TXCC_SIG,0
ALST_TXFW_AM,0
ALST_TXFW_AM2m,0
ALST_TXFW_AM2mG,0
ALST_TXFW_AM2N,0
ALST_TXFW_AM2N2m,0
ALST_TXFW_AM2N2mG,0
ALST_TXFW_AM2NG,0
ALST_TXFW_AMG,0
ALST_TXFW_IM,0
ALST_TXFW_IM2m,0
ALST_TXFW_IM2N,0
ALST_TXFW_IM2NG,0
ALST_TXFW_IMG,0
ALST_TXFW_SC,0
ALST_TXFW_SC2m,0
ALST_TXFW_SC2mG,0
ALST_TXFW_SC2N,0
ALST_TXFW_SC2N2m,0
ALST_TXFW_SC2N2mG,0
ALST_TXFW_SC2NG,0
ALST_TXFW_SCG,0
ALST_TXFW_SI,0
ALST_TXFW_SI2N,0
ALST_TXFW_SI2NG,0
ALST_TXFW_SIG,0
FLCC_ALFW_AM,0
FLCC_ALFW_AM2m,0
FLCC_ALFW_AM2mG,0
FLCC_ALFW_AM2N,0
FLCC_ALFW_AM2N2m,0
FLCC_ALFW_AM2N2mG,0
FLCC_ALFW_AM2NG,0
FLCC_ALFW_AMG,0
FLCC_ALFW_IM,0
FLCC_ALFW_IM2m,0
FLCC_ALFW_IM2N,0
FLCC_ALFW_IM2NG,0
FLCC_ALFW_IMG,0
FLCC_ALFW_SC,0
FLCC_ALFW_SC2m,0
FLCC_ALFW_SC2mG,0
FLCC_ALFW_SC2N,0
FLCC_ALFW_SC2N2m,0
FLCC_ALFW_SC2N2mG,0
FLCC_ALFW_SC2NG,0
FLCC_ALFW_SCG,0
FLCC_ALFW_SI,0
FLCC_ALFW_SI2N,0
FLCC_ALFW_SI2NG,0
FLCC_ALFW_SIG,0
FLCC_ALST_AM,0
FLCC_ALST_AM2m,0
FLCC_ALST_AM2mG,0
FLCC_ALST_AM2N,0
FLCC_ALST_AM2N2m,0
FLCC_ALST_AM2N2mG,0
FLCC_ALST_AM2NG,0
FLCC_ALST_AMG,0
FLCC_ALST_IM,0
FLCC_ALST_IM2m,0
FLCC_ALST_IM2N,0
FLCC_ALST_IM2NG,0
FLCC_ALST_IMG,0
FLCC_ALST_SC,0
FLCC_ALST_SC2m,0
FLCC_ALST_SC2mG,0
FLCC_ALST_SC2N,0
FLCC_ALST_SC2N2m,0
FLCC_ALST_SC2N2mG,0
FLCC_ALST_SC2NG,0
FLCC_ALST_SCG,0
FLCC_ALST_SI,0
FLCC_ALST_SI2N,0
FLCC_ALST_SI2NG,0
FLCC_ALST_SIG,0
FLCC_LAFW_AM,0
FLCC_LAFW_AM2m,0
FLCC_LAFW_AM2mG,0
FLCC_LAFW_AM2N,0
FLCC_LAFW_AM2N2m,0
FLCC_LAFW_AM2N2mG,0
FLCC_LAFW_AM2NG,0
FLCC_LAFW_AMG,0
FLCC_LAFW_IM,0
FLCC_LAFW_IM2m,0
FLCC_LAFW_IM2N,0
FLCC_LAFW_IM2NG,0
FLCC_LAFW_IMG,0
FLCC_LAFW_SC,0
FLCC_LAFW_SC2m,0
FLCC_LAFW_SC2mG,0
FLCC_LAFW_SC2N,0
FLCC_LAFW_SC2N2m,0
FLCC_LAFW_SC2N2mG,0
FLCC_LAFW_SC2NG,0
FLCC_LAFW_SCG,0
FLCC_LAFW_SI,0
FLCC_LAFW_SI2N,0
FLCC_LAFW_SI2NG,0
FLCC_LAFW_SIG,0
FLCC_TXCC_AM,0
FLCC_TXCC_AM2m,0
FLCC_TXCC_AM2mG,0
FLCC_TXCC_AM2N,0
FLCC_TXCC_AM2N2m,0
FLCC_TXCC_AM2N2mG,0
FLCC_TXCC_AM2NG,0
FLCC_TXCC_AMG,0
FLCC_TXCC_IM,0
FLCC_TXCC_IM2m,0
FLCC_TXCC_IM2N,0
FLCC_TXCC_IM2NG,0
FLCC_TXCC_IMG,0
FLCC_TXCC_SC,0
FLCC_TXCC_SC2m,0
FLCC_TXCC_SC2mG,0
FLCC_TXCC_SC2N,0
FLCC_TXCC_SC2N2m,0
FLCC_TXCC_SC2N2mG,0
FLCC_TXCC_SC2NG,0
FLCC_TXCC_SCG,0
FLCC_TXCC_SI,0
FLCC_TXCC_SI2N,0
FLCC_TXCC_SI2NG,0
FLCC_TXCC_SIG,0
FLCC_TXFW_AM,0
FLCC_TXFW_AM2m,0
FLCC_TXFW_AM2mG,0
FLCC_TXFW_AM2N,0
FLCC_TXFW_AM2N2m,0
FLCC_TXFW_AM2N2mG,0
FLCC_TXFW_AM2NG,0
FLCC_TXFW_AMG,0
FLCC_TXFW_IM,0
FLCC_TXFW_IM2m,0
FLCC_TXFW_IM2N,0
FLCC_TXFW_IM2NG,0
FLCC_TXFW_IMG,0
FLCC_TXFW_SC,0
FLCC_TXFW_SC2m,0
FLCC_TXFW_SC2mG,0
FLCC_TXFW_SC2N,0
FLCC_TXFW_SC2N2m,0
FLCC_TXFW_SC2N2mG,0
FLCC_TXFW_SC2NG,0
FLCC_TXFW_SCG,0
FLCC_TXFW_SI,0
FLCC_TXFW_SI2N,0
FLCC_TXFW_SI2NG,0
FLCC_TXFW_SIG,0
FLLG_ALFW_AM,7
FLLG_ALFW_AM2m,1
FLLG_ALFW_AM2mG,0
FLLG_ALFW_AM2N,3
FLLG_ALFW_AM2N2m,0
FLLG_ALFW_AM2N2mG,0
FLLG_ALFW_AM2NG,2
FLLG_ALFW_AMG,2
FLLG_ALFW_IM,7
FLLG_ALFW_IM2m,5
FLLG_ALFW_IM2N,7
FLLG_ALFW_IM2NG,3
FLLG_ALFW_IMG,2
FLLG_ALFW_SC,7
FLLG_ALFW_SC2m,0
FLLG_ALFW_SC2mG,0
FLLG_ALFW_SC2N,0
FLLG_ALFW_SC2N2m,0
FLLG_ALFW_SC2N2mG,0
FLLG_ALFW_SC2NG,0
FLLG_ALFW_SCG,0
FLLG_ALFW_SI,7
FLLG_ALFW_SI2N,7
FLLG_ALFW_SI2NG,7
FLLG_ALFW_SIG,7
FLLG_ALST_AM,0
FLLG_ALST_AM2m,0
FLLG_ALST_AM2mG,0
FLLG_ALST_AM2N,0
FLLG_ALST_AM2N2m,0
FLLG_ALST_AM2N2mG,0
FLLG_ALST_AM2NG,0
FLLG_ALST_AMG,0
FLLG_ALST_IM,0
FLLG_ALST_IM2m,0
FLLG_ALST_IM2N,0
FLLG_ALST_IM2NG,0
FLLG_ALST_IMG,0
FLLG_ALST_SC,0
FLLG_ALST_SC2m,0
FLLG_ALST_SC2mG,0
FLLG_ALST_SC2N,0
FLLG_ALST_SC2N2m,0
FLLG_ALST_SC2N2mG,0
FLLG_ALST_SC2NG,0
FLLG_ALST_SCG,0
FLLG_ALST_SI,0
FLLG_ALST_SI2N,0
FLLG_ALST_SI2NG,0
FLLG_ALST_SIG,0
FLLG_FLCC_AM,7
FLLG_FLCC_AM2m,1
FLLG_FLCC_AM2mG,6
FLLG_FLCC_AM2N,7
FLLG_FLCC_AM2N2m,3
FLLG_FLCC_AM2N2mG,4
FLLG_FLCC_AM2NG,7
FLLG_FLCC_AMG,1
FLLG_FLCC_IM,7
FLLG_FLCC_IM2m,4
FLLG_FLCC_IM2N,1
FLLG_FLCC_IM2NG,5
FLLG_FLCC_IMG,7
FLLG_FLCC_SC,7
FLLG_FLCC_SC2m,7
FLLG_FLCC_SC2mG,7
FLLG_FLCC_SC2N,3
FLLG_FLCC_SC2N2m,5
FLLG_FLCC_SC2N2mG,5
FLLG_FLCC_SC2NG,7
FLLG_FLCC_SCG,7
FLLG_FLCC_SI,7
FLLG_FLCC_SI2N,7
FLLG_FLCC_SI2NG,7
FLLG_FLCC_SIG,7
FLLG_LAFW_AM,0
FLLG_LAFW_AM2m,0
FLLG_LAFW_AM2mG,0
FLLG_LAFW_AM2N,0
FLLG_LAFW_AM2N2m,0
FLLG_LAFW_AM2N2mG,0
FLLG_LAFW_AM2NG,0
FLLG_LAFW_AMG,0
FLLG_LAFW_IM,0
FLLG_LAFW_IM2m,0
FLLG_LAFW_IM2N,0
FLLG_LAFW_IM2NG,0
FLLG_LAFW_IMG,0
FLLG_LAFW_SC,0
FLLG_LAFW_SC2m,0
FLLG_LAFW_SC2mG,0
FLLG_LAFW_SC2N,0
FLLG_LAFW_SC2N2m,0
FLLG_LAFW_SC2N2mG,0
FLLG_LAFW_SC2NG,0
FLLG_LAFW_SCG,0
FLLG_LAFW_SI,0
FLLG_LAFW_SI2N,0
FLLG_LAFW_SI2NG,0
FLLG_LAFW_SIG,0
FLLG_TXCC_AM,0
FLLG_TXCC_AM2m,0
FLLG_TXCC_AM2mG,0
FLLG_TXCC_AM2N,0
FLLG_TXCC_AM2N2m,0
FLLG_TXCC_AM2N2mG,0
FLLG_TXCC_AM2NG,0
FLLG_TXCC_AMG,0
FLLG_TXCC_IM,0
FLLG_TXCC_IM2m,0
FLLG_TXCC_IM2N,0
FLLG_TXCC_IM2NG,0
FLLG_TXCC_IMG,0
FLLG_TXCC_SC,0
FLLG_TXCC_SC2m,0
FLLG_TXCC_SC2mG,0
FLLG_TXCC_SC2N,0
FLLG_TXCC_SC2N2m,0
FLLG_TXCC_SC2N2mG,0
FLLG_TXCC_SC2NG,0
FLLG_TXCC_SCG,0
FLLG_TXCC_SI,0
FLLG_TXCC_SI2N,0
FLLG_TXCC_SI2NG,0
FLLG_TXCC_SIG,0
FLLG_TXFW_AM,0
FLLG_TXFW_AM2m,0
FLLG_TXFW_AM2mG,0
FLLG_TXFW_AM2N,0
FLLG_TXFW_AM2N2m,0
FLLG_TXFW_AM2N2mG,0
FLLG_TXFW_AM2NG,0
FLLG_TXFW_AMG,0
FLLG_TXFW_IM,0
FLLG_TXFW_IM2m,0
FLLG_TXFW_IM2N,0
FLLG_TXFW_IM2NG,0
FLLG_TXFW_IMG,0
FLLG_TXFW_SC,0
FLLG_TXFW_SC2m,0
FLLG_TXFW_SC2mG,0
FLLG_TXFW_SC2N,0
FLLG_TXFW_SC2N2m,0
FLLG_TXFW_SC2N2mG,0
FLLG_TXFW_SC2NG,0
FLLG_TXFW_SCG,0
FLLG_TXFW_SI,0
FLLG_TXFW_SI2N,0
FLLG_TXFW_SI2NG,0
FLLG_TXFW_SIG,0
LAFW_TXCC_AM,0
LAFW_TXCC_AM2m,0
LAFW_TXCC_AM2mG,0
LAFW_TXCC_AM2N,0
LAFW_TXCC_AM2N2m,0
LAFW_TXCC_AM2N2mG,0
LAFW_TXCC_AM2NG,0
LAFW_TXCC_AMG,0
LAFW_TXCC_IM,0
LAFW_TXCC_IM2m,0
LAFW_TXCC_IM2N,0
LAFW_TXCC_IM2NG,0
LAFW_TXCC_IMG,0
LAFW_TXCC_SC,0
LAFW_TXCC_SC2m,0
LAFW_TXCC_SC2mG,0
LAFW_TXCC_SC2N,0
LAFW_TXCC_SC2N2m,0
LAFW_TXCC_SC2N2mG,0
LAFW_TXCC_SC2NG,0
LAFW_TXCC_SCG,0
LAFW_TXCC_SI,0
LAFW_TXCC_SI2N,0
LAFW_TXCC_SI2NG,0
LAFW_TXCC_SIG,0
LAFW_TXFW_AM,0
LAFW_TXFW_AM2m,0
LAFW_TXFW_AM2mG,0
LAFW_TXFW_AM2N,0
LAFW_TXFW_AM2N2m,0
LAFW_TXFW_AM2N2mG,0
LAFW_TXFW_AM2NG,0
LAFW_TXFW_AMG,0
LAFW_TXFW_IM,0
LAFW_TXFW_IM2m,0
LAFW_TXFW_IM2N,0
LAFW_TXFW_IM2NG,0
LAFW_TXFW_IMG,0
LAFW_TXFW_SC,0
LAFW_TXFW_SC2m,0
LAFW_TXFW_SC2mG,0
LAFW_TXFW_SC2N,0
LAFW_TXFW_SC2N2m,0
LAFW_TXFW_SC2N2mG,0
LAFW_TXFW_SC2NG,0
LAFW_TXFW_SCG,0
LAFW_TXFW_SI,0
LAFW_TXFW_SI2N,0
LAFW_TXFW_SI2NG,0
LAFW_TXFW_SIG,0
TXFW_TXCC_AM,0
TXFW_TXCC_AM2m,0
TXFW_TXCC_AM2mG,0
TXFW_TXCC_AM2N,0
TXFW_TXCC_AM2N2m,0
TXFW_TXCC_AM2N2mG,0
TXFW_TXCC_AM2NG,0
TXFW_TXCC_AMG,0
TXFW_TXCC_IM,0
TXFW_TXCC_IM2m,0
TXFW_TXCC_IM2N,0
TXFW_TXCC_IM2NG,0
TXFW_TXCC_IMG,0
TXFW_TXCC_SC,0
TXFW_TXCC_SC2m,0
TXFW_TXCC_SC2mG,0
TXFW_TXCC_SC2N,0
TXFW_TXCC_SC2N2m,0
TXFW_TXCC_SC2N2mG,0
TXFW_TXCC_SC2NG,0
TXFW_TXCC_SCG,0
TXFW_TXCC_SI,0
TXFW_TXCC_SI2N,0
TXFW_TXCC_SI2NG,0
TXFW_TXCC_SIG,0
